"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp585","Mean temp Feb to April",2017,7.53595668477213
"Bottom","no","ssp585","Mean temp Feb to April",2018,7.06823474178121
"Bottom","no","ssp585","Mean temp Feb to April",2019,7.94640506044792
"Bottom","no","ssp585","Mean temp Feb to April",2020,6.56274067988521
"Bottom","no","ssp585","Mean temp Feb to April",2021,6.90418015254504
"Bottom","no","ssp585","Mean temp Feb to April",2022,7.55792525027338
"Bottom","no","ssp585","Mean temp Feb to April",2023,6.3536928578737
"Bottom","no","ssp585","Mean temp Feb to April",2024,5.78276306288946
"Bottom","no","ssp585","Mean temp Feb to April",2025,6.84682123189762
"Bottom","no","ssp585","Mean temp Feb to April",2026,7.59599434369831
"Bottom","no","ssp585","Mean temp Feb to April",2027,6.89448290782545
"Bottom","no","ssp585","Mean temp Feb to April",2028,7.79421444182661
"Bottom","no","ssp585","Mean temp Feb to April",2029,7.74874372353686
"Bottom","no","ssp585","Mean temp Feb to April",2030,7.46283454991641
"Bottom","no","ssp585","Mean temp Feb to April",2031,7.86685980419978
"Bottom","no","ssp585","Mean temp Feb to April",2032,8.10856290682351
"Bottom","no","ssp585","Mean temp Feb to April",2033,7.6724992647367
"Bottom","no","ssp585","Mean temp Feb to April",2034,6.7145347100584
"Bottom","no","ssp585","Mean temp Feb to April",2035,6.28836249910832
"Bottom","no","ssp585","Mean temp Feb to April",2036,7.52092358583499
"Bottom","no","ssp585","Mean temp Feb to April",2037,8.0768665903939
"Bottom","no","ssp585","Mean temp Feb to April",2038,8.10195442817752
"Bottom","no","ssp585","Mean temp Feb to April",2039,7.62700151670651
"Bottom","no","ssp585","Mean temp Feb to April",2040,7.94871498077782
"Bottom","no","ssp585","Mean temp Feb to April",2041,7.00130830039036
"Bottom","no","ssp585","Mean temp Feb to April",2042,7.50161363344116
"Bottom","no","ssp585","Mean temp Feb to April",2043,8.30952507063316
"Bottom","no","ssp585","Mean temp Feb to April",2044,8.46982485537609
"Bottom","no","ssp585","Mean temp Feb to April",2045,7.91802450305837
"Bottom","no","ssp585","Mean temp Feb to April",2046,6.88515012683346
"Bottom","no","ssp585","Mean temp Feb to April",2047,6.64771485071152
"Bottom","no","ssp585","Mean temp Feb to April",2048,7.30152049420876
"Bottom","no","ssp585","Mean temp Feb to April",2049,8.47449034685934
"Bottom","no","ssp585","Mean temp Feb to April",2050,8.02707661932551
"Bottom","no","ssp585","Mean temp Feb to April",2051,7.73792127173125
"Bottom","no","ssp585","Mean temp Feb to April",2052,7.79124721346663
"Bottom","no","ssp585","Mean temp Feb to April",2053,8.03132104291996
"Bottom","no","ssp585","Mean temp Feb to April",2054,8.25720940892311
"Bottom","no","ssp585","Mean temp Feb to April",2055,8.37683605566153
"Bottom","no","ssp585","Mean temp Feb to April",2056,7.49106202776205
"Bottom","no","ssp585","Mean temp Feb to April",2057,8.11400385632099
"Bottom","no","ssp585","Mean temp Feb to April",2058,7.51503319505034
"Bottom","no","ssp585","Mean temp Feb to April",2059,8.46401752153564
"Bottom","no","ssp585","Mean temp Feb to April",2060,7.59153272174205
"Bottom","no","ssp585","Mean temp Feb to April",2061,8.98126244540803
"Bottom","no","ssp585","Mean temp Feb to April",2062,8.07436444801437
"Bottom","no","ssp585","Mean temp Feb to April",2063,7.4861000283866
"Bottom","no","ssp585","Mean temp Feb to April",2064,8.19138182483389
"Bottom","no","ssp585","Mean temp Feb to April",2065,9.00176650752614
"Bottom","no","ssp585","Mean temp Feb to April",2066,8.61059207601863
"Bottom","no","ssp585","Mean temp Feb to April",2067,9.24472353075931
"Bottom","no","ssp585","Mean temp Feb to April",2068,8.95521733337994
"Bottom","no","ssp585","Mean temp Feb to April",2069,8.33611402370475
"Bottom","no","ssp585","Mean temp Feb to April",2070,9.01770840277665
"Bottom","no","ssp585","Mean temp Feb to April",2071,8.62484429857389
"Bottom","no","ssp585","Mean temp Feb to April",2072,8.24006053632896
"Bottom","no","ssp585","Mean temp Feb to April",2073,9.1730974496707
"Bottom","no","ssp585","Mean temp Feb to April",2074,9.00781970779182
"Bottom","no","ssp585","Mean temp Feb to April",2075,9.21101035396415
"Bottom","no","ssp585","Mean temp Feb to April",2076,8.20051960387686
"Bottom","no","ssp585","Mean temp Feb to April",2077,8.35885254138519
"Bottom","no","ssp585","Mean temp Feb to April",2078,8.82575141420633
"Bottom","no","ssp585","Mean temp Feb to April",2079,8.89144624743886
"Bottom","no","ssp585","Mean temp Feb to April",2080,8.88040987880541
"Bottom","no","ssp585","Mean temp Feb to April",2081,9.0328977228817
"Bottom","no","ssp585","Mean temp Feb to April",2082,9.11982835593968
"Bottom","no","ssp585","Mean temp Feb to April",2083,8.9435692613159
"Bottom","no","ssp585","Mean temp Feb to April",2084,8.38608403442846
"Bottom","no","ssp585","Mean temp Feb to April",2085,8.53686469611936
"Bottom","no","ssp585","Mean temp Feb to April",2086,9.4046285076258
"Bottom","no","ssp585","Mean temp Feb to April",2087,9.34844587653172
"Bottom","no","ssp585","Mean temp Feb to April",2088,9.02283881858898
"Bottom","no","ssp585","Mean temp Feb to April",2089,9.59742629282632
"Bottom","no","ssp585","Mean temp Feb to April",2090,9.34303124834461
"Bottom","no","ssp585","Mean temp Feb to April",2091,9.68146422356089
"Bottom","no","ssp585","Mean temp Feb to April",2092,9.8639056282845
"Bottom","no","ssp585","Mean temp Feb to April",2093,9.70873533233008
"Bottom","no","ssp585","Mean temp Feb to April",2094,9.4277617002148
"Bottom","no","ssp585","Mean temp Feb to April",2095,8.72592247282597
"Bottom","no","ssp585","Mean temp Feb to April",2096,9.0665160752719
"Bottom","no","ssp585","Mean temp Feb to April",2097,7.31853278563995
"Bottom","no","ssp585","Mean temp Feb to April",2098,8.51883778522298
"Bottom","no","ssp585","Mean temp Feb to April",2099,9.88810232538633
"Bottom","yes","ssp585","Mean temp Feb to April",1980,6.56225014192782
"Bottom","yes","ssp585","Mean temp Feb to April",1981,6.47392015014643
"Bottom","yes","ssp585","Mean temp Feb to April",1982,7.22106388398098
"Bottom","yes","ssp585","Mean temp Feb to April",1983,7.14386919242465
"Bottom","yes","ssp585","Mean temp Feb to April",1984,6.83078856557499
"Bottom","yes","ssp585","Mean temp Feb to April",1985,6.24933497175383
"Bottom","yes","ssp585","Mean temp Feb to April",1986,7.08274635570307
"Bottom","yes","ssp585","Mean temp Feb to April",1987,6.78990737024073
"Bottom","yes","ssp585","Mean temp Feb to April",1988,6.30741089159902
"Bottom","yes","ssp585","Mean temp Feb to April",1989,6.64739432661883
"Bottom","yes","ssp585","Mean temp Feb to April",1990,6.17893844649864
"Bottom","yes","ssp585","Mean temp Feb to April",1991,6.03815441969825
"Bottom","yes","ssp585","Mean temp Feb to April",1992,6.82369385967065
"Bottom","yes","ssp585","Mean temp Feb to April",1993,6.64663660170815
"Bottom","yes","ssp585","Mean temp Feb to April",1994,6.29416892105883
"Bottom","yes","ssp585","Mean temp Feb to April",1995,6.30881875943427
"Bottom","yes","ssp585","Mean temp Feb to April",1996,6.9543287615547
"Bottom","yes","ssp585","Mean temp Feb to April",1997,7.07337605628092
"Bottom","yes","ssp585","Mean temp Feb to April",1998,7.30410516621507
"Bottom","yes","ssp585","Mean temp Feb to April",1999,6.46728919656378
"Bottom","yes","ssp585","Mean temp Feb to April",2000,6.83434648482962
"Bottom","yes","ssp585","Mean temp Feb to April",2001,7.09858044120932
"Bottom","yes","ssp585","Mean temp Feb to April",2002,6.8136413323805
"Bottom","yes","ssp585","Mean temp Feb to April",2003,7.63941191866952
"Bottom","yes","ssp585","Mean temp Feb to April",2004,7.02905582012712
"Bottom","yes","ssp585","Mean temp Feb to April",2005,7.49924197292739
"Bottom","yes","ssp585","Mean temp Feb to April",2006,7.03131022567419
"Bottom","yes","ssp585","Mean temp Feb to April",2007,6.20395722272549
"Bottom","yes","ssp585","Mean temp Feb to April",2008,6.47581601740307
"Bottom","yes","ssp585","Mean temp Feb to April",2009,6.33827299947644
